Fecha,Departure,Arrive,Hora_Salida,Hora_LLegada,Price,Tipo,CaptureDate,Aerolinea
2023-04-19,CLO,BOG,5:16 a. m.,6:15 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-19,CLO,BOG,6:31 a. m.,7:30 a. m.,"260.890,00",Directo,2023-04-18,Latam
2023-04-19,CLO,BOG,7:15 a. m.,8:14 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-19,CLO,BOG,7:45 a. m.,8:44 a. m.,"260.890,00",Directo,2023-04-18,Latam
2023-04-19,CLO,BOG,8:30 a. m.,9:29 a. m.,"269.110,00",Directo,2023-04-18,Latam
2023-04-19,CLO,BOG,1:32 p. m.,2:32 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-19,CLO,BOG,1:59 p. m.,2:59 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-19,CLO,BOG,4:12 p. m.,5:12 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-19,CLO,BOG,5:00 p. m.,6:00 p. m.,"589.570,00",Directo,2023-04-18,Latam
2023-04-19,CLO,BOG,8:15 p. m.,9:15 p. m.,"466.050,00",Directo,2023-04-18,Latam
2023-04-19,CLO,BOG,9:00 p. m.,10:00 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-19,CLO,BOG,9:46 p. m.,10:46 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-19,CLO,BOG,10:10 a. m.,1:02 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-04-19,CLO,BOG,10:10 a. m.,4:12 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-04-19,CLO,BOG,2:13 p. m.,5:29 p. m.,"585.170,00",1 parada,2023-04-18,Latam
2023-04-19,CLO,BOG,2:13 p. m.,5:34 p. m.,"585.170,00",1 parada,2023-04-18,Latam
2023-04-19,CLO,BOG,2:13 p. m.,8:30 p. m.,"986.910,00",1 parada,2023-04-18,Latam
2023-04-19,CLO,BOG,7:27 p. m.,10:44 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-04-19,CLO,BOG,7:27 p. m.,11:29 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-04-19,CLO,BOG,7:27 p. m.,11:34 p. m.,"423.690,00",1 parada,2023-04-18,Latam
2023-04-19,CLO,BOG,10:10 a. m.,6:32 p. m.,"630.270,00",2 paradas,2023-04-18,Latam
2023-04-19,CLO,BOG,2:13 p. m.,10:11 p. m.,"1.220.030,00",2 paradas,2023-04-18,Latam
2023-04-19,CLO,BOG,2:13 p. m.,11:00 p. m.,"469.620,00",2 paradas,2023-04-18,Latam
2023-04-21,CLO,BOG,4:12 a. m.,5:11 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,CLO,BOG,5:16 a. m.,6:15 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,CLO,BOG,6:40 a. m.,7:39 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,CLO,BOG,7:09 a. m.,8:08 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,CLO,BOG,7:30 a. m.,8:29 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,CLO,BOG,7:59 a. m.,8:58 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,CLO,BOG,9:20 a. m.,10:19 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,CLO,BOG,10:25 a. m.,11:25 a. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,CLO,BOG,2:42 p. m.,3:42 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,CLO,BOG,4:16 p. m.,5:16 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,CLO,BOG,5:00 p. m.,6:00 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,CLO,BOG,5:37 p. m.,6:37 p. m.,"317.060,00",Directo,2023-04-18,Latam
2023-04-21,CLO,BOG,8:26 p. m.,9:26 p. m.,"776.880,00",Directo,2023-04-18,Latam
2023-04-21,CLO,BOG,10:15 p. m.,11:15 p. m.,"253.040,00",Directo,2023-04-18,Latam
2023-04-21,CLO,BOG,10:57 a. m.,1:56 p. m.,"725.470,00",1 parada,2023-04-18,Latam
2023-04-21,CLO,BOG,10:57 a. m.,4:56 p. m.,"986.910,00",1 parada,2023-04-18,Latam
2023-04-21,CLO,BOG,10:57 a. m.,5:24 p. m.,"986.910,00",1 parada,2023-04-18,Latam
2023-04-21,CLO,BOG,10:57 a. m.,5:44 p. m.,"986.910,00",1 parada,2023-04-18,Latam
2023-04-21,CLO,BOG,3:17 p. m.,5:44 p. m.,"725.470,00",1 parada,2023-04-18,Latam
2023-04-21,CLO,BOG,3:17 p. m.,8:34 p. m.,"986.910,00",1 parada,2023-04-18,Latam
2023-04-21,CLO,BOG,3:17 p. m.,9:29 p. m.,"986.910,00",1 parada,2023-04-18,Latam
2023-04-21,CLO,BOG,3:17 p. m.,10:09 p. m.,"468.430,00",1 parada,2023-04-18,Latam
2023-04-21,CLO,BOG,6:51 p. m.,9:29 p. m.,"986.910,00",1 parada,2023-04-18,Latam
2023-04-21,CLO,BOG,6:51 p. m.,10:09 p. m.,"986.910,00",1 parada,2023-04-18,Latam
2023-04-21,CLO,BOG,6:51 p. m.,11:45 p. m.,"725.470,00",1 parada,2023-04-18,Latam
2023-04-21,CLO,BOG,11:24 p. m.,"5:00 a. m.
+1","423.690,00",1 parada,2023-04-18,Latam
2023-04-21,CLO,BOG,11:24 p. m.,"5:45 a. m.
+1","423.690,00",1 parada,2023-04-18,Latam
2023-04-21,CLO,BOG,10:57 a. m.,5:33 p. m.,"1.568.820,00",2 paradas,2023-04-18,Latam
2023-04-21,CLO,BOG,10:57 a. m.,9:30 p. m.,"1.573.460,00",2 paradas,2023-04-18,Latam
2023-04-21,CLO,BOG,3:17 p. m.,9:30 p. m.,"650.620,00",2 paradas,2023-04-18,Latam
2023-04-21,CLO,BOG,3:17 p. m.,10:00 p. m.,"1.220.030,00",2 paradas,2023-04-18,Latam
2023-04-21,CLO,BOG,3:17 p. m.,11:59 p. m.,"494.250,00",2 paradas,2023-04-18,Latam
2023-05-15,CLO,BOG,5:26 a. m.,6:25 a. m.,"253.040,00",Directo,2023-04-18,Latam
